title,category,food_cost,ingredients,price,description,image_url,is_available,created_at,updated_at
Lemongrass Chicken,main_course,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Đùi gà góc tư rút xương"", ""quantity"": 220, ""unit"": ""g"", ""notes"": ""Ướp sả ớt, nướng than""}]}, {""category"": ""Gia vị ướp"", ""items"": [{""name"": ""Sả băm"", ""quantity"": 20, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Ớt băm"", ""quantity"": 10, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Nước mắm, đường, hành tím"", ""quantity"": null, ""unit"": ""tùy chỉnh"", ""notes"": """"}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Cơm nấu nước cốt dừa"", ""quantity"": 1, ""unit"": ""chén"", ""notes"": ""Nấu dẻo, béo thơm""}, {""name"": ""Sốt chấm chua ngọt Thái"", ""quantity"": 30, ""unit"": ""ml"", ""notes"": ""Chấm gà""}]}]",189000,"Gà nướng sả ớt, cơm dừa, sốt chấm Thái",,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Wagyu Beef Bowl,main_course,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Thịt bò Wagyu (cắt lát/thái hạt lựu)"", ""quantity"": 150, ""unit"": ""g"", ""notes"": ""Áp chảo nhanh""}, {""name"": ""Cơm trắng (Gạo Nhật)"", ""quantity"": 1, ""unit"": ""tô lớn"", ""notes"": ""Cơm dẻo""}]}, {""category"": ""Gia vị & Ăn kèm"", ""items"": [{""name"": ""Sốt Teriyaki"", ""quantity"": 40, ""unit"": ""ml"", ""notes"": ""Đun keo lại rưới lên thịt""}, {""name"": ""Trứng Onsen (lòng đào)"", ""quantity"": 1, ""unit"": ""quả"", ""notes"": ""Đặt giữa tô""}, {""name"": ""Hành lá băm, mè rang"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Rắc trang trí""}]}]",199000,"Cơm bò Wagyu sốt Teriyaki, trứng onsen",,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Sticky BBQ Ribs,sharing_plate,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Sườn non heo"", ""quantity"": 400, ""unit"": ""g"", ""notes"": ""Hầm mềm sau đó nướng xém mặt""}]}, {""category"": ""Gia vị"", ""items"": [{""name"": ""Sốt BBQ đậm đặc"", ""quantity"": 60, ""unit"": ""ml"", ""notes"": ""Phết nhiều lớp khi nướng""}, {""name"": ""Mật ong"", ""quantity"": 20, ""unit"": ""ml"", ""notes"": ""Tạo độ kẹo và bóng""}, {""name"": ""Tỏi bột, hành bột, ớt bột"", ""quantity"": 10, ""unit"": ""g"", ""notes"": ""Ướp sườn ban đầu""}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Khoai tây chiên hoặc xà lách trộn"", ""quantity"": 100, ""unit"": ""g"", ""notes"": """"}]}]",259000,Sườn heo nướng sốt BBQ mật ong,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Korean Fried Chicken,sharing_plate,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Cánh gà hoặc má đùi"", ""quantity"": 300, ""unit"": ""g"", ""notes"": ""Áo bột chiên giòn 2 lần""}]}, {""category"": ""Sốt áo"", ""items"": [{""name"": ""Tương ớt Gochujang"", ""quantity"": 30, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Mạch nha / Đường ngô"", ""quantity"": 20, ""unit"": ""ml"", ""notes"": ""Tạo độ dẻo bóng""}, {""name"": ""Tương cà, tỏi băm, xì dầu"", ""quantity"": null, ""unit"": ""tùy chỉnh"", ""notes"": ""Nấu sôi làm sốt cay ngọt""}]}, {""category"": ""Trang trí"", ""items"": [{""name"": ""Mè trắng rang"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Rắc lên trên""}]}]",179000,Gà rán sốt Gochujang,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Seafood Tower,sharing_plate,0.0,"[{""category"": ""Hải sản (Định lượng cho tháp)"", ""items"": [{""name"": ""Tôm hùm đất / Tôm càng"", ""quantity"": 200, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Cua / Ghẹ"", ""quantity"": 1, ""unit"": ""con"", ""notes"": """"}, {""name"": ""Vẹm xanh"", ""quantity"": 150, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Nghêu ngao"", ""quantity"": 200, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Nước sốt"", ""items"": [{""name"": ""Sốt Cajun bơ tỏi"", ""quantity"": 150, ""unit"": ""ml"", ""notes"": ""Cay nhẹ, thơm mùi bơ và lá oregano""}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Bắp mỹ, khoai tây bi"", ""quantity"": 150, ""unit"": ""g"", ""notes"": ""Luộc chín trộn cùng sốt""}, {""name"": ""Bánh mì"", ""quantity"": 1, ""unit"": ""ổ"", ""notes"": ""Chấm nước sốt""}]}]",349000,Tháp hải sản sốt Cajun,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Premium Mixed Grill,sharing_plate,0.0,"[{""category"": ""Các loại thịt"", ""items"": [{""name"": ""Thăn bò Úc"", ""quantity"": 150, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Sườn cừu nướng"", ""quantity"": 2, ""unit"": ""cây"", ""notes"": """"}, {""name"": ""Xúc xích Bratwurst"", ""quantity"": 1, ""unit"": ""cây"", ""notes"": """"}, {""name"": ""Thịt ức gà"", ""quantity"": 100, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Ăn kèm & Sốt"", ""items"": [{""name"": ""Rau củ nướng tổng hợp"", ""quantity"": 150, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Sốt tiêu đen & Sốt nấm"", ""quantity"": 50, ""unit"": ""ml"", ""notes"": ""Dùng kèm 2 loại sốt""}, {""name"": ""Khoai tây múi cau"", ""quantity"": 100, ""unit"": ""g"", ""notes"": """"}]}]",499000,Tổng hợp thịt nướng cao cấp,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Basque Cheesecake,dessert,0.0,"[{""category"": ""Thành phần bánh"", ""items"": [{""name"": ""Cream cheese"", ""quantity"": 100, ""unit"": ""g"", ""notes"": ""Đánh mịn""}, {""name"": ""Whipping cream"", ""quantity"": 50, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Đường cát"", ""quantity"": 30, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Trứng gà"", ""quantity"": 1, ""unit"": ""quả"", ""notes"": """"}]}, {""category"": ""Đặc trưng"", ""items"": [{""name"": ""Mặt bánh"", ""quantity"": null, ""unit"": ""N/A"", ""notes"": ""Nướng cháy xém tự nhiên tạo hương Caramel""}]}]",89000,,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Tiramisu,dessert,0.0,"[{""category"": ""Phần kem"", ""items"": [{""name"": ""Phô mai Mascarpone"", ""quantity"": 50, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Kem tươi (Whipping)"", ""quantity"": 50, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Lòng đỏ trứng, đường"", ""quantity"": null, ""unit"": ""tùy chỉnh"", ""notes"": ""Đánh cách thủy""}]}, {""category"": ""Phần cốt bánh"", ""items"": [{""name"": ""Bánh sâm panh (Ladyfingers)"", ""quantity"": 3, ""unit"": ""cái"", ""notes"": """"}, {""name"": ""Cà phê Espresso"", ""quantity"": 30, ""unit"": ""ml"", ""notes"": ""Nhúng bánh""}, {""name"": ""Rượu Rhum/Kahlua"", ""quantity"": 5, ""unit"": ""ml"", ""notes"": """"}]}, {""category"": ""Trang trí"", ""items"": [{""name"": ""Bột Cacao không đường"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Rắc phủ bề mặt""}]}]",89000,,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Chocolate Lava Cake,dessert,0.0,"[{""category"": ""Phần bánh"", ""items"": [{""name"": ""Chocolate đen (55-70%)"", ""quantity"": 50, ""unit"": ""g"", ""notes"": ""Đun chảy""}, {""name"": ""Bơ nhạt"", ""quantity"": 40, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Trứng gà"", ""quantity"": 1, ""unit"": ""quả"", ""notes"": """"}, {""name"": ""Bột mì, đường"", ""quantity"": 20, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Kem Vanilla"", ""quantity"": 1, ""unit"": ""viên"", ""notes"": ""Đặt cạnh bánh nóng""}, {""name"": ""Trái cây tươi (Dâu tây)"", ""quantity"": 2, ""unit"": ""quả"", ""notes"": """"}]}]",99000,,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Panna Cotta Berry,dessert,0.0,"[{""category"": ""Phần kem"", ""items"": [{""name"": ""Whipping Cream"", ""quantity"": 60, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Sữa tươi không đường"", ""quantity"": 40, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Gelatin"", ""quantity"": 3, ""unit"": ""g"", ""notes"": ""Đông đặc""}, {""name"": ""Đường, Vanilla"", ""quantity"": 10, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Sốt trái cây (Berry Compote)"", ""items"": [{""name"": ""Quả mọng (Dâu, Mâm xôi, Việt quất)"", ""quantity"": 30, ""unit"": ""g"", ""notes"": ""Nấu chảy với đường""}, {""name"": ""Lá bạc hà"", ""quantity"": 1, ""unit"": ""nhánh"", ""notes"": ""Trang trí""}]}]",79000,,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Matcha Tiramisu,dessert,0.0,"[{""category"": ""Phần kem"", ""items"": [{""name"": ""Phô mai Mascarpone"", ""quantity"": 50, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Whipping Cream"", ""quantity"": 50, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Bột Matcha Nhật Bản"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Pha vào kem""}]}, {""category"": ""Phần cốt bánh"", ""items"": [{""name"": ""Bánh Ladyfingers"", ""quantity"": 3, ""unit"": ""cái"", ""notes"": ""Nhúng vào syrup trà xanh thay vì cà phê""}]}, {""category"": ""Trang trí"", ""items"": [{""name"": ""Bột Matcha"", ""quantity"": 3, ""unit"": ""g"", ""notes"": ""Rắc phủ bề mặt""}]}]",89000,,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
